City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Busselton,0,AU,1572137675,54,-33.64,115.35,73.99,5.01
Victoria,75,BN,1572137675,78,5.28,115.24,82.4,3.36
Chuy,0,UY,1572137675,66,-33.69,-53.46,63.75,9.84
Mbekenyera,1,TZ,1572137675,95,-10,38.98,68.95,2.75
Xuddur,66,SO,1572137676,81,4.12,43.89,74.08,8.37
Vaitape,19,PF,1572137676,67,-16.52,-151.75,79.95,6.55
Mataura,73,NZ,1572137676,89,-46.19,168.86,55.99,1.99
Punta Arenas,75,CL,1572137676,71,-53.16,-70.91,42.8,18.34
Port Alfred,97,ZA,1572137676,94,-33.59,26.89,64.99,1.99
Altud,75,RU,1572137676,81,43.72,43.87,48.2,4.47
Faanui,13,PF,1572137676,68,-16.48,-151.75,79.84,6.8
Saint George,0,GR,1572137677,76,39.45,22.34,55.4,1.66
Berdigestyakh,87,RU,1572137677,88,62.1,126.7,16.63,7.74
Rikitea,58,PF,1572137677,82,-23.12,-134.97,71.62,25.21
Ilulissat,25,GL,1572137677,39,69.22,-51.1,28.4,6.93
Taltal,2,CL,1572137677,81,-25.41,-70.49,54.63,2.93
Georgetown,20,GY,1572137544,83,6.8,-58.16,82.4,9.17
Caravelas,89,BR,1572137677,89,-17.73,-39.27,72.39,6.24
Albany,75,US,1572137678,75,42.65,-73.75,46.99,4.68
Codrington,90,AU,1572137678,50,-28.95,153.24,78.8,14.99
Katsuura,75,JP,1572137678,82,33.93,134.5,66,6.93
Tomatlan,43,MX,1572137678,94,19.93,-105.25,75.81,3.98
Ushuaia,100,AR,1572137595,95,-54.81,-68.31,33.93,4.36
Boa Vista,66,BR,1572137566,58,2.82,-60.67,86,5.99
Rosa Zarate,62,EC,1572137678,91,0.33,-79.47,72.57,2.93
Lebu,33,ET,1572137678,67,8.96,38.73,48.76,1.54
Kahului,40,US,1572137679,45,20.89,-156.47,87.8,16.11
Sao Joao da Barra,67,BR,1572137679,90,-21.64,-41.05,75.67,11.39
Mazatlan,5,MX,1572137501,66,23.22,-106.42,86,8.05
Marystown,100,CA,1572137679,2,47.17,-55.16,45,14.99
Oranjemund,0,ZA,1572137679,94,-28.55,16.43,55.38,2.84
Bom Jesus,81,BR,1572137395,44,-9.08,-44.36,79.07,2.75
Lamu,43,CN,1572137679,59,35.77,102.37,30.58,0.74
Mumford,100,GH,1572137681,95,5.26,-0.76,74.16,4.21
Oktyabrskoye,75,RU,1572137681,92,56.73,85.44,30.99,13.42
Bluff,61,AU,1572137681,45,-23.58,149.07,80.35,5.44
Kaitangata,92,NZ,1572137681,94,-46.28,169.85,49.95,32.32
Bethel,90,US,1572137681,87,60.79,-161.76,42.8,9.17
Grand Gaube,40,MU,1572137681,88,-20.01,57.66,70,6.89
Dillon,90,US,1572137681,63,45.22,-112.64,27,19.46
Puerto Ayora,75,EC,1572137682,69,-0.74,-90.35,73.4,11.41
San Cristobal,56,HN,1572137682,89,14.68,-86.92,68.58,4.41
Sainte-Suzanne,42,CH,1572137682,81,47.51,6.77,57.99,2.24
Khandyga,90,RU,1572137682,97,62.65,135.58,10.56,1.48
Hamilton,90,CA,1572137413,93,43.26,-79.87,51.01,16.11
Laguna,75,BZ,1572137682,83,16.17,-88.94,82.4,4.7
Tautira,20,PF,1572137682,58,-17.73,-149.15,86,13.87
San Patricio,0,PY,1572137682,59,-26.98,-56.83,80.17,6.89
Tshikapa,96,CD,1572137683,97,-6.42,20.79,69.91,2.93
Kautokeino,0,NO,1572137683,96,69.01,23.04,5.45,1.7
Axim,92,GH,1572137683,91,4.87,-2.24,75.22,4.32
Moree,0,AU,1572137683,11,-29.46,149.84,78.8,10.29
Puerto Madryn,80,AR,1572137683,24,-42.77,-65.04,68.65,12.77
Narsaq,98,GL,1572137683,54,60.91,-46.05,30.2,2.24
Cape Town,20,ZA,1572137673,87,-33.93,18.42,60.01,6.93
Cherskiy,81,RU,1572137744,75,68.75,161.3,10.33,12.88
Shingu,75,JP,1572137744,77,33.72,135.99,66.2,4.7
Avarua,100,CK,1572137745,83,-21.21,-159.78,71.6,6.93
Shelburne,1,CA,1572137557,65,44.08,-80.2,46.99,4.7
Hovd,92,NO,1572137745,86,63.83,10.7,44.01,9.17
Ribeira Grande,91,PT,1572137745,88,38.52,-28.7,62.29,19.91
Nantucket,1,US,1572137745,87,41.28,-70.1,50,3.36
Kapaa,20,US,1572137507,74,22.08,-159.32,84.2,6.93
Naze,100,NG,1572137500,94,5.43,7.07,74.95,2.08
Polunochnoye,77,RU,1572137605,87,60.87,60.43,37.54,6.33
